Timestamp,Varietal,Bin,Brix,Temperature,Anything notable about this fermentation today?,Reported by,Date of Measurement
9/25/2024 18:34:28,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,6,81,,David Hinman ,9/25/2024
9/25/2024 18:38:58,"BARBERA, Estate, Green Valley",1,27,68,,David Hinman ,9/25/2024
9/25/2024 18:41:09,"BARBERA, Estate, Green Valley",3,28,68,,David Hinman ,9/25/2024
9/25/2024 18:44:17,"BARBERA, Estate, Green Valley",2,22.5,70,,David Hinman ,9/25/2024
9/25/2024 18:50:38,"BARBERA, Estate, Green Valley",4,27,70,,David Hinman ,9/25/2024
9/26/2024 18:37:55,"BARBERA, Estate, Green Valley",1,23,73.5,,Jenine,9/26/2024
9/26/2024 18:38:24,"BARBERA, Estate, Green Valley",2,16,81,,Jenine,9/26/2024
9/26/2024 18:38:49,"BARBERA, Estate, Green Valley",3,21,80,,Jenine,9/26/2024
9/26/2024 18:39:21,"BARBERA, Estate, Green Valley",4,22,77,,Jenine ,9/26/2024
9/26/2024 19:15:49,"GRENACHE, Redgale Vineyard, Solano County",1,0,73,,Jenine,9/26/2024
9/26/2024 19:16:18,"GRENACHE, Redgale Vineyard, Solano County",2,-1,74,,Jenine,9/26/2024
9/26/2024 19:17:22,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,5,79,"Did pump over, smell improved after pump over ",Jenine,9/26/2024
9/26/2024 19:47:15,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,7,79.5,,Jenine,9/26/2024
9/27/2024 17:13:54,"BARBERA, Estate, Green Valley",2,5.25,88,,Jeff,9/27/2024
9/27/2024 18:08:28,"BARBERA, Estate, Green Valley",1,14,89,,Fah/Jenine,9/27/2024
9/27/2024 17:15:01,"BARBERA, Estate, Green Valley",4,12,88.5,,Jeff Sharoff (ew),9/28/2024
9/27/2024 17:16:15,"BARBERA, Estate, Green Valley",3,11,92.3,,Jeff Sharoff (yuck),9/28/2024
9/27/2024 17:22:08,"ZINFANDEL, Lucchesi Vineyard, Green Valley",2,1.5,80.1,,Jeff Sharoff (very ugly),9/28/2024
9/27/2024 17:24:31,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,5.5,81.9,,Jeff Sharoff (🤮),9/28/2024
9/27/2024 17:26:24,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,1.5,80.2,,Jeff Sharoff (eats rocks),9/28/2024
9/27/2024 17:32:38,"GRENACHE, Redgale Vineyard, Solano County",1,-1.8,76.3,,Jeff Sharoff (cannot read),9/28/2024
9/27/2024 17:34:23,"GRENACHE, Redgale Vineyard, Solano County",2,-1.4,77.4,,Jeff Sharoff (evades taxes),9/28/2024
9/28/2024 10:44:55,"BARBERA, Estate, Green Valley",4,9,86.2,,Jaemin and Jeff,9/28/2024
9/28/2024 10:46:38,"BARBERA, Estate, Green Valley",3,9,87.4,,Jeff and Jaemin,9/28/2024
9/28/2024 10:58:31,"BARBERA, Estate, Green Valley",2,3.7,83.7,,Jeff and Jaemin,9/28/2024
9/28/2024 11:01:04,"BARBERA, Estate, Green Valley",1,8.5,87.4,,Jeff and Jaemin,9/28/2024
9/29/2024 10:44:07,"BARBERA, Estate, Green Valley",1,4,78,,Jenine,9/29/2024
9/29/2024 10:44:49,"BARBERA, Estate, Green Valley",2,1.8,74.5,,Jenine,9/29/2024
9/29/2024 10:45:24,"BARBERA, Estate, Green Valley",3,6,79,,Jenine,9/29/2024
9/29/2024 10:45:56,"BARBERA, Estate, Green Valley",4,5,77,,Jenine,9/29/2024
9/30/2024 11:40:38,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Pressed,1.5,69,Mio aerate in a bin for a long time in the morning.,Mio,9/30/2024
9/30/2024 18:41:10,"BARBERA, Estate, Green Valley",2,0.7,80,"A lot more lighter color , less solid",Richard,9/30/2024
9/30/2024 18:42:39,"BARBERA, Estate, Green Valley",4,3.6,79,Kinda thick felt more bubbly ,Richard ,9/30/2024
9/30/2024 18:43:57,"BARBERA, Estate, Green Valley",1,3,82,,Richard,9/30/2024
9/30/2024 18:45:10,"BARBERA, Estate, Green Valley",3,4.7,80,,Richard,9/30/2024
9/30/2024 19:03:20,"BARBERA, Estate, Green Valley",1,3.8,,Temperature not measured ,Sam,9/30/2024
9/30/2024 19:04:08,"BARBERA, Estate, Green Valley",2,1,,Temperature not measured ,Sam,9/30/2024
9/30/2024 19:04:44,"BARBERA, Estate, Green Valley",3,5,,Temperature not measured ,Sam,9/30/2024
9/30/2024 19:05:35,"BARBERA, Estate, Green Valley",4,4.2,,Temperature not measured ,Sam,9/30/2024
10/1/2024 17:28:47,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",1,25,64,,,9/30/2024
10/1/2024 17:35:17,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",2,26,68,warm corners and small amount of bubbles around the edge,,9/30/2024
10/1/2024 17:36:02,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Pressed,0.7,80,not as eggy; aerate for 10 mins.,,9/30/2024
10/1/2024 17:36:54,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Free Run,2,79,Quite eggy; aerate for 10 mins inside the tote. ,,9/30/2024
10/1/2024 18:24:05,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",1,26,65.7,,Haley,10/1/2024
10/1/2024 18:24:39,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",2,26,66.7,,Haley,10/1/2024
10/1/2024 18:25:43,"BARBERA, Estate, Green Valley",1,2.1,85.5,,,10/1/2024
10/1/2024 18:26:26,"BARBERA, Estate, Green Valley",2,1,80.5,,,10/1/2024
10/1/2024 18:27:06,"BARBERA, Estate, Green Valley",3,3.5,83.5,,,10/1/2024
10/1/2024 18:27:27,"BARBERA, Estate, Green Valley",4,3,82,,,10/1/2024
10/1/2024 20:25:36,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Free Run,2.4,78,Green lid bin; measured while in anopen bin mid aeration ,Haley,10/1/2024
10/1/2024 20:26:21,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Pressed,0.6,79,Black lid bin; measured from closed vat ,Haley,10/1/2024
10/1/2024 20:28:18,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",1,27,64,,,10/1/2024
10/1/2024 20:29:19,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",2,28,64,,,10/1/2024
10/1/2024 20:30:00,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",3,28,67,,,10/1/2024
10/1/2024 20:30:28,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",4,27,65,,,10/1/2024
10/2/2024 19:08:19,"BARBERA, Estate, Green Valley",2,0.6,80,,Clinton,10/2/2024
10/2/2024 19:09:18,"BARBERA, Estate, Green Valley",1,1.5,81,"Soft cap, low bubbles",Clinton,10/2/2024
10/2/2024 19:10:01,"BARBERA, Estate, Green Valley",3,2,82,"Soft cap, low bubbles",Clinton,10/2/2024
10/2/2024 19:10:55,"BARBERA, Estate, Green Valley",4,1.7,82,"Soft cap, ",Clinton,10/2/2024
10/2/2024 19:12:45,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",1,25,66.7,"Low juice, hard to punch down, low bubbles",Clinton,10/2/2024
10/2/2024 19:13:34,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",2,26,67.3,"Hard cap, hard to punch down, low bubbles",Clinton,10/2/2024
10/2/2024 19:14:24,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",1,27.5,65,"Sweet, basic",Clinton,10/2/2024
10/2/2024 19:14:59,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",2,28.5,66,Basic,Clinton,10/2/2024
10/2/2024 19:15:42,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",3,29,67,Basic,Clinton,10/2/2024
10/2/2024 19:16:14,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",4,27.5,66,Basic,Clinton,10/2/2024
10/2/2024 22:01:13,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Free Run,1.8,80,Eggy. CO2. Aerate in big bin.,,10/2/2024
10/2/2024 22:02:19,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Pressed,0,80,Clean. Did not measure temp,,10/2/2024
10/5/2024 7:24:28,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",2,25.5,68.5,Morning score,Sam,10/3/2024
10/5/2024 7:25:54,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",1,24.5,68,Morning score,Sam,10/3/2024
10/5/2024 7:27:18,"BARBERA, Estate, Green Valley",1,1.6,78,Morning score,Sam,10/3/2024
10/5/2024 7:28:09,"BARBERA, Estate, Green Valley",2,0.7,75.5,Morning score,Sam,10/3/2024
10/5/2024 7:29:03,"BARBERA, Estate, Green Valley",3,2.9,79,Morning score,Sam,10/3/2024
10/5/2024 7:29:43,"BARBERA, Estate, Green Valley",4,1,78,Morning score,Sam,10/3/2024
10/5/2024 7:30:38,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Pressed,0.1,75.6,Morning score,Sam,10/3/2024
10/5/2024 7:31:29,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Free Run,2.1,74.8,Morning score,Sam,10/3/2024
10/4/2024 16:44:37,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",4,22,72,10gal mizu,Jeff,10/4/2024
10/4/2024 16:46:16,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",3,26,72,10gal mizu,Jeff,10/4/2024
